born,arm,step,total,win_pct,n
15.0,6.0,5.0,-310.0,34.8,115
15.0,4.0,10.0,-312.05,27.0,115
15.0,6.0,4.0,-312.42,34.8,115
15.0,3.0,3.0,-313.69,40.0,115
12.5,4.0,2.0,-315.46,41.7,115
15.0,3.0,7.5,-317.35,28.7,115
15.0,4.0,3.0,-318.8,38.3,115
15.0,2.0,3.0,-323.52,42.6,115
12.5,7.5,4.0,-324.53,32.2,115
12.5,6.0,10.0,-349.65,26.1,115
12.5,7.5,3.0,-351.15,34.8,115
15.0,7.5,2.0,-352.48,38.3,115
12.5,6.0,7.5,-353.43,27.8,115
15.0,4.0,2.0,-355.75,43.5,115
12.5,3.0,2.0,-365.81,42.6,115
12.5,7.5,5.0,-385.5,31.3,115
12.5,7.5,7.5,-395.5,28.7,115
15.0,3.0,2.0,-395.65,45.2,115
15.0,7.5,4.0,-409.5,33.9,115
12.5,10.0,2.0,-419.97,35.7,115
12.5,10.0,3.0,-425.67,34.8,115
15.0,7.5,3.0,-443.49,36.5,115
12.5,7.5,10.0,-444.55,25.2,115
15.0,6.0,10.0,-444.6,26.1,115
15.0,6.0,7.5,-448.38,27.8,115
12.5,10.0,4.0,-462.49,33.0,115
15.0,7.5,5.0,-463.1,33.0,115
12.5,10.0,5.0,-473.57,32.2,115
12.5,10.0,10.0,-484.87,27.0,115
12.5,10.0,7.5,-492.72,28.7,115
15.0,7.5,7.5,-509.95,28.7,115
15.0,10.0,2.0,-532.25,38.3,115
15.0,10.0,3.0,-553.03,35.7,115
15.0,7.5,10.0,-559.0,25.2,115
15.0,10.0,4.0,-590.19,33.9,115
15.0,10.0,5.0,-601.95,33.0,115
15.0,10.0,10.0,-613.25,27.8,115
15.0,10.0,7.5,-621.1,29.6,115
