bucket,born,arm,total,win_pct,n
mid    $1-1.99,12.5,7.5,-91.25,28.6,21
mid    $1-1.99,20.0,12.5,-91.3,38.1,21
mid    $1-1.99,15.0,10.0,-96.5,33.3,21
mid    $1-1.99,25.0,10.0,-98.0,38.1,21
mid    $1-1.99,12.5,15.0,-99.75,23.8,21
mid    $1-1.99,15.0,12.5,-109.0,33.3,21
mid    $1-1.99,25.0,7.5,-116.63,38.1,21
mid    $1-1.99,10.0,25.0,-120.9,19.0,21
mid    $1-1.99,12.5,20.0,-121.75,23.8,21
mid    $1-1.99,15.0,5.0,-122.2,33.3,21
mid    $1-1.99,25.0,5.0,-123.7,38.1,21
mid    $1-1.99,20.0,15.0,-127.0,28.6,21
mid    $1-1.99,15.0,7.5,-127.5,28.6,21
mid    $1-1.99,15.0,15.0,-138.9,23.8,21
mid    $1-1.99,25.0,12.5,-143.0,38.1,21
mid    $1-1.99,12.5,25.0,-159.75,19.0,21
mid    $1-1.99,15.0,20.0,-160.9,23.8,21
mid    $1-1.99,20.0,20.0,-182.0,28.6,21
mid    $1-1.99,25.0,15.0,-184.5,28.6,21
mid    $1-1.99,15.0,25.0,-198.9,19.0,21
mid    $1-1.99,25.0,20.0,-216.5,28.6,21
mid    $1-1.99,20.0,25.0,-220.0,23.8,21
mid    $1-1.99,25.0,25.0,-254.5,23.8,21
