ts,occ,bid,ask
1787234228.033,NBIS260821P00205000,2.2600,2.4400
1787234229.516,NBIS260821P00205000,2.2900,2.4400
1787234230.078,NBIS260821P00205000,2.2000,2.4100
1787234232.525,NBIS260821P00205000,2.2000,2.4100
1787234233.281,NBIS260821P00205000,2.2000,2.3800
1787234234.233,NBIS260821P00205000,2.2100,2.3900
1787234235.312,NBIS260821P00205000,2.3500,2.5000
1787234236.253,NBIS260821P00205000,2.3500,2.5200
1787234237.025,NBIS260821P00205000,2.3500,2.5200
1787234238.322,NBIS260821P00205000,2.3400,2.4700
1787234239.060,NBIS260821P00205000,2.3100,2.4600
1787234240.001,NBIS260821P00205000,2.3100,2.4600
1787234241.026,NBIS260821P00205000,2.2600,2.4100
1787234242.343,NBIS260821P00205000,2.2600,2.4100
1787234243.053,NBIS260821P00205000,2.2600,2.4100
1787234244.026,NBIS260821P00205000,2.3200,2.4500
1787234245.253,NBIS260821P00205000,2.3100,2.4500
1787234246.458,NBIS260821P00205000,2.3100,2.4500
1787234247.780,NBIS260821P00205000,2.3100,2.4500
1787234248.074,NBIS260821P00205000,2.3100,2.4500
1787234249.060,NBIS260821P00205000,2.3900,2.5200
1787234250.071,NBIS260821P00205000,2.3900,2.5200
1787234251.023,NBIS260821P00205000,2.3900,2.5200
1787234252.071,NBIS260821P00205000,2.3900,2.5200
1787234254.132,NBIS260821P00205000,2.3900,2.5200
1787234255.039,NBIS260821P00205000,2.3900,2.5200
1787234256.032,NBIS260821P00205000,2.3100,2.4400
1787234257.050,NBIS260821P00205000,2.3200,2.5000
1787234258.571,NBIS260821P00205000,2.3200,2.5000
1787234259.230,NBIS260821P00205000,2.3200,2.5000
1787234260.059,NBIS260821P00205000,2.3600,2.5000
1787234261.141,NBIS260821P00205000,2.3600,2.5000
1787234262.148,NBIS260821P00205000,2.3800,2.5200
1787234263.011,NBIS260821P00205000,2.3900,2.5200
1787234264.135,NBIS260821P00205000,2.4100,2.4500
1787234265.185,NBIS260821P00205000,2.4100,2.5200
1787234266.725,NBIS260821P00205000,2.4200,2.5200
1787234267.490,NBIS260821P00205000,2.4400,2.5200
1787234268.430,NBIS260821P00205000,2.4500,2.5200
1787234269.115,NBIS260821P00205000,2.4500,2.5200
1787234270.146,NBIS260821P00205000,2.4500,2.6100
1787234271.119,NBIS260821P00205000,2.5200,2.6500
1787234272.015,NBIS260821P00205000,2.5200,2.6500
1787234273.008,NBIS260821P00205000,2.5200,2.6500
1787234274.117,NBIS260821P00205000,2.4000,2.4900
1787234275.540,NBIS260821P00205000,2.4000,2.4900
