ts,o,h,l,c
1788442611,343.1100,343.2400,343.1050,343.2200
1788442612,343.2100,343.2300,343.1900,343.2300
1788442613,343.2250,343.2250,343.2200,343.2200
1788442614,343.2300,343.2300,343.1500,343.1800
1788442615,343.2100,343.2400,343.1900,343.2000
1788442616,343.1900,343.1900,343.0500,343.1600
1788442617,343.1700,343.3000,343.1700,343.2800
1788442618,343.2600,343.2700,343.2400,343.2400
1788442619,343.2600,343.2900,343.2400,343.2900
1788442620,343.2900,343.3800,343.2900,343.3400
1788442621,343.3400,343.3500,343.2700,343.3000
1788442622,343.2800,343.3400,343.2800,343.3400
1788442623,343.3100,343.3300,343.3000,343.3000
1788442624,343.3400,343.3600,343.3400,343.3600
1788442625,343.3700,343.3700,343.2600,343.2600
1788442627,343.3100,343.3100,343.2950,343.2950
1788442628,343.2600,343.2800,343.2600,343.2800
1788442629,343.2950,343.3200,343.2950,343.3200
1788442630,343.2800,343.2850,343.2600,343.2600
1788442631,343.2600,343.3200,343.2600,343.2800
1788442632,343.3200,343.3200,343.3200,343.3200
1788442633,343.3200,343.4450,343.3200,343.4450
1788442634,343.4100,343.5200,343.4100,343.5100
1788442636,343.4900,343.4900,343.4600,343.4600
1788442637,343.4900,343.5400,343.4900,343.5050
1788442638,343.4900,343.4900,343.4500,343.4500
1788442640,343.4600,343.4800,343.4400,343.4400
1788442641,343.4600,343.4700,343.3800,343.4400
1788442642,343.4600,343.5100,343.4500,343.4500
1788442643,343.4700,343.4700,343.4700,343.4700
1788442644,343.4500,343.4500,343.4300,343.4400
1788442645,343.4250,343.4250,343.4250,343.4250
1788442646,343.4000,343.4300,343.4000,343.4000
1788442647,343.4600,343.4900,343.4600,343.4900
1788442648,343.4700,343.4700,343.4600,343.4600
1788442649,343.4400,343.4750,343.3900,343.4700
1788442650,343.4400,343.4400,343.4400,343.4400
1788442652,343.4300,343.4500,343.4300,343.4400
1788442653,343.4500,343.4500,343.4400,343.4400
1788442654,343.3800,343.4100,343.1900,343.4100
1788442655,343.4200,343.4200,343.4000,343.4000
1788442656,343.4100,343.4200,343.4000,343.4000
1788442657,343.4200,343.4800,343.4200,343.4800
1788442659,343.4500,343.4500,343.4400,343.4400
1788442660,343.4900,343.5300,343.4300,343.4300
1788442661,343.4100,343.4100,343.3400,343.3400
1788442662,343.3500,343.3500,343.3200,343.3200
1788442663,343.3300,343.3600,343.3300,343.3400
1788442664,343.3100,343.3100,343.3100,343.3100
1788442665,343.3100,343.3100,343.2400,343.2400
1788442666,343.2400,343.2700,343.2400,343.2700
1788442667,343.3100,343.5700,343.3100,343.4600
