ts,o,h,l,c
1788356269,458.6000,458.6000,458.5400,458.5400
1788356273,458.3100,458.3100,458.0900,458.1600
1788356277,458.0300,458.0900,458.0200,458.0200
1788356283,458.4400,458.4400,458.4400,458.4400
1788356284,458.4600,458.5100,458.4600,458.5100
1788356285,458.5700,458.6500,458.5000,458.5800
1788356290,458.7200,458.7400,458.7200,458.7400
1788356292,458.6650,458.6650,458.6100,458.6100
1788356297,458.5400,458.5400,458.5400,458.5400
1788356300,458.5000,458.5000,458.5000,458.5000
1788356302,458.6100,458.6100,458.6100,458.6100
1788356303,458.6600,458.7600,458.6600,458.7300
1788356304,458.7500,458.9100,458.7500,458.9100
1788356305,458.9100,458.9100,458.9100,458.9100
1788356307,458.8100,458.8100,458.5400,458.5400
1788356312,458.5100,458.7100,458.5100,458.7100
1788356316,458.8000,459.0000,458.5700,458.7100
1788356317,458.5900,458.5900,458.3900,458.3900
1788356319,458.5500,458.5500,458.5500,458.5500
1788356320,458.4000,458.4000,458.3400,458.3400
1788356324,458.3800,458.3800,458.3800,458.3800
1788356325,458.3800,458.5600,458.3800,458.5600
1788356326,458.7100,458.7100,458.7100,458.7100
1788356327,458.5800,458.5800,458.5600,458.5600
1788356328,458.3800,458.3800,458.3800,458.3800
1788356329,458.3800,458.3800,458.1700,458.1700
1788356330,458.1600,458.1600,458.1600,458.1600
1788356333,458.2700,458.2700,458.2700,458.2700
1788356336,458.7300,458.7300,458.7300,458.7300
1788356340,458.6700,458.8100,458.6700,458.8100
1788356349,458.5800,458.5800,458.5800,458.5800
1788356350,458.5100,458.5100,458.5100,458.5100
1788356352,458.7600,458.8000,458.7600,458.8000
1788356353,458.8500,458.8500,458.8500,458.8500
1788356356,458.8300,458.8900,458.8300,458.8900
1788356357,458.8000,458.8000,458.7900,458.7900
1788356364,458.8000,458.9500,458.8000,458.8600
1788356365,459.0000,459.0900,459.0000,459.0900
1788356367,459.0000,459.0000,459.0000,459.0000
1788356369,459.0600,459.0600,459.0600,459.0600
1788356370,459.0700,459.0700,458.9600,458.9600
1788356373,459.0900,459.1600,459.0900,459.1200
1788356374,459.1600,459.1600,459.1600,459.1600
1788356375,459.1600,459.1600,459.1600,459.1600
1788356377,459.1700,459.1700,459.1700,459.1700
1788356378,458.9400,458.9400,458.9300,458.9300
