date,time,kind,occ,symbol,qty,our_bid,actual_fill,improvement,status,bid_at_read,ask_at_read,quote_gap_s,why,slack_0_cross,slack_0_entry,slack_0_pl,slack_2_cross,slack_2_entry,slack_2_pl,slack_3_cross,slack_3_entry,slack_3_pl,slack_5_cross,slack_5_entry,slack_5_pl,slack_7.5_cross,slack_7.5_entry,slack_7.5_pl,slack_10_cross,slack_10_entry,slack_10_pl
2026-08-17,11:59:15,nofill,INTC260828C00115000,INTC,1,1.77,,,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-18,09:30:16,fill,SPY260819C00775000,SPY,1,0.31,0.29,2,scored,0.27,0.30,0,,True,0.3,-1,True,0.3,-1,True,0.3,-1,True,0.3,-1,True,0.3,-1,True,0.3,-1
2026-08-18,09:31:50,fill,INTC260828C00115000,INTC,1,0.77,0.75,2,scored,0.76,0.80,4,,False,0.75,-0,False,0.75,-0,False,0.75,-0,True,0.8,-5,True,0.8,-5,True,0.8,-5
2026-08-18,09:33:30,fill,INTC260828C00115000,INTC,1,0.70,0.68,2,scored,0.66,0.68,1,,True,0.68,-0,True,0.68,-0,True,0.68,-0,True,0.68,-0,True,0.68,-0,True,0.68,-0
2026-08-18,09:35:31,nofill,PLTR260821C00172500,PLTR,1,3.35,,,unscored,,,,no tape ever quoted this contract,,,,,,,,,,,,,,,,,,
2026-08-18,09:44:13,fill,NVDA260821C00227500,NVDA,1,0.85,0.82,3,scored,0.80,0.82,0,,True,0.82,-0,True,0.82,-0,True,0.82,-0,True,0.82,-0,True,0.82,-0,True,0.82,-0
2026-08-18,09:46:18,nofill,QQQ260818P00718000,QQQ,1,1.22,,,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-18,09:49:17,nofill,INTC260819P00097000,INTC,1,1.51,,,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-18,09:50:28,fill,SPY260819P00769000,SPY,1,2.39,0.45,194,scored,2.34,2.35,0,,True,2.35,-190,True,2.35,-190,True,2.35,-190,True,2.35,-190,True,2.35,-190,True,2.35,-190
2026-08-18,09:50:28,fill,SPY260819P00769000,SPY,1,2.39,2.34,5,scored,2.34,2.35,0,,True,2.35,-1,True,2.35,-1,True,2.35,-1,True,2.35,-1,True,2.35,-1,True,2.35,-1
2026-08-18,09:53:40,fill,AMZN260819P00257500,AMZN,1,1.47,1.45,2,scored,1.45,1.47,2,,True,1.47,-2,True,1.47,-2,True,1.47,-2,True,1.47,-2,True,1.47,-2,True,1.47,-2
2026-08-18,09:53:56,fill,MSFT260821C00485000,MSFT,1,3.45,3.40,5,scored,3.65,3.70,0,,False,3.4,-0,False,3.4,-0,False,3.4,-0,False,3.4,-0,True,3.7,-30,True,3.7,-30
2026-08-18,09:59:31,fill,INTC260819P00097000,INTC,1,1.53,1.55,-2,scored,1.52,1.56,0,,False,1.55,-0,True,1.56,-1,True,1.56,-1,True,1.56,-1,True,1.56,-1,True,1.56,-1
2026-08-18,10:07:16,fill,DOCU260821C00065000,DOCU,1,0.40,0.40,0,scored,0.43,0.44,39,,False,0.4,-0,False,0.4,-0,False,0.4,-0,False,0.4,-0,False,0.4,-0,True,0.45,-5
2026-08-18,10:11:28,nofill,SPY260819P00769000,SPY,1,2.40,,,unscored,,,,no recorded bid/ask within 90s of the order,,,,,,,,,,,,,,,,,,
2026-08-18,10:14:38,fill,SPY260825P00760000,SPY,1,1.88,1.87,1,scored,1.85,1.87,0,,True,1.87,-0,True,1.87,-0,True,1.87,-0,True,1.87,-0,True,1.87,-0,True,1.87,-0
2026-08-18,10:17:32,fill,QQQ260818P00718000,QQQ,1,1.60,1.59,1,scored,1.56,1.58,0,,True,1.58,1,True,1.58,1,True,1.58,1,True,1.58,1,True,1.58,1,True,1.58,1
2026-08-18,10:52:06,fill,MSFT260821C00485000,MSFT,1,3.27,3.20,7,scored,3.00,3.20,0,,True,3.2,-0,True,3.2,-0,True,3.2,-0,True,3.2,-0,True,3.2,-0,True,3.2,-0
2026-08-18,11:08:10,fill,SPY260818C00769000,SPY,1,0.63,0.58,5,scored,0.58,0.59,0,,True,0.59,-1,True,0.59,-1,True,0.59,-1,True,0.59,-1,True,0.59,-1,True,0.59,-1
2026-08-18,12:01:30,fill,KO260821C00089000,KO,1,0.58,0.54,4,scored,0.52,0.56,0,,True,0.56,-2,True,0.56,-2,True,0.56,-2,True,0.56,-2,True,0.56,-2,True,0.56,-2
